时间,开盘价,最高价,最低价,收盘价,成交量
2010-03-12,0.6301,0.6342,0.614,0.614,4771255
2010-03-15,0.6016,0.6081,0.5854,0.5946,560213
2010-03-16,0.6021,0.6436,0.6012,0.6429,1321852
2010-03-17,0.6672,0.6739,0.6541,0.6661,2738121
2010-03-18,0.6661,0.668,0.6407,0.6499,1661756
2010-03-19,0.6418,0.6421,0.6097,0.6204,1674345
2010-03-22,0.6081,0.6676,0.6047,0.6652,3990733
2010-03-23,0.6746,0.7106,0.6742,0.7081,6414127
2010-03-24,0.7012,0.7012,0.6653,0.6688,2133846
2010-03-25,0.6977,0.7078,0.6649,0.6655,2133846
2010-03-26,0.6833,0.6868,0.642,0.655,2435984
2010-03-29,0.6761,0.6803,0.6679,0.6726,1447742
2010-03-30,0.6831,0.6927,0.6655,0.6855,2014250
2010-03-31,0.6908,0.6958,0.6712,0.6749,1133016
2010-04-01,0.6938,0.7217,0.6658,0.6771,1724702
2010-04-05,0.7028,0.7371,0.6579,0.7344,1573633
2010-04-06,0.7205,0.7337,0.7122,0.7233,2096079
2010-04-07,0.7271,0.7456,0.7071,0.7305,3581588
2010-04-08,0.7173,0.7173,0.6812,0.7046,4689426
2010-04-09,0.7127,0.7236,0.6965,0.7233,1315557
2010-04-12,0.7343,0.7602,0.7256,0.7414,2517812
2010-04-13,0.7456,0.7594,0.736,0.7557,3046553
2010-04-14,0.8026,0.8557,0.8026,0.853,6823272
2010-04-15,0.8682,0.88,0.8506,0.8603,13287755
2010-04-16,0.8499,0.8499,0.7897,0.8285,4670542
2010-04-19,0.8007,0.825,0.7548,0.8005,5992394
2010-04-20,0.8239,0.8452,0.8182,0.8393,3065437
2010-04-21,0.8452,0.8638,0.7759,0.8131,6055339
2010-04-22,0.7972,0.8617,0.76,0.859,6917690
2010-04-23,0.8731,0.8731,0.828,0.8628,3776719
2010-04-26,0.8706,0.8941,0.8644,0.8704,4034794
2010-04-27,0.8341,0.8641,0.7778,0.7804,5362941
