date,open,high,low,close,volume
2026-05-01,7256.0,7300.75,7240.75,7258.0,1263615
2026-05-04,7276.25,7279.75,7199.5,7230.25,1581015
2026-05-05,7228.75,7304.25,7223.75,7287.25,1115385
2026-05-06,7300.5,7395.75,7293.5,7389.5,1631260
2026-05-07,7380.5,7410.5,7345.5,7363.0,1753384
2026-05-08,7340.0,7427.75,7336.25,7419.0,1312034
2026-05-11,7403.5,7454.75,7390.5,7436.75,1233354
2026-05-12,7435.5,7443.75,7363.25,7426.5,1625151
2026-05-13,7419.25,7483.75,7399.0,7469.5,1301334
2026-05-14,7477.5,7540.0,7471.0,7525.5,1371818
2026-05-15,7522.25,7528.25,7409.25,7432.25,1923350
2026-05-18,7410.0,7454.25,7373.5,7425.75,1983487
2026-05-19,7423.5,7440.75,7354.25,7378.0,1804940
2026-05-20,7377.0,7458.0,7356.0,7451.75,1585626
2026-05-21,7432.75,7486.75,7407.5,7466.0,1738205
2026-05-22,7467.0,7524.0,7466.75,7491.0,1242275
2026-05-24,7519.0,7549.5,7517.0,7491.0,50689
2026-05-25,7519.0,7568.75,7517.0,7491.0,164618
2026-05-26,7519.0,7569.75,7517.0,7537.0,1422109
2026-05-27,7533.0,7570.75,7515.0,7540.0,1291159
2026-05-28,7553.75,7590.75,7505.75,7581.75,1280521
2026-05-29,7587.5,7611.5,7572.75,7595.75,1461462
