时间,开盘价,最高价,最低价,收盘价,成交量
2026-04-17 12:00:00,7080.5,7082.25,7080.0,7082.25,348
2026-04-17 12:20:00,7082.5,7083.0,7081.25,7081.75,653
2026-04-17 12:40:00,7082.0,7082.0,7079.25,7079.25,805
2026-04-17 13:00:00,7079.5,7079.5,7075.25,7077.25,1462
2026-04-17 13:20:00,7077.25,7080.75,7076.75,7079.5,1240
2026-04-17 13:40:00,7079.5,7082.0,7079.25,7081.25,867
2026-04-17 14:00:00,7081.5,7083.75,7080.5,7081.5,2183
2026-04-17 14:20:00,7082.0,7082.0,7077.25,7079.0,2175
2026-04-17 14:40:00,7079.0,7082.0,7078.25,7079.75,1299
2026-04-17 15:00:00,7080.0,7086.5,7080.0,7083.5,3931
2026-04-17 15:20:00,7083.5,7084.5,7080.75,7082.75,2163
2026-04-17 15:40:00,7082.5,7087.75,7081.75,7086.5,3095
2026-04-17 16:00:00,7086.5,7087.75,7084.5,7086.25,3213
2026-04-17 16:20:00,7086.5,7088.75,7085.75,7086.75,3180
2026-04-17 16:40:00,7086.75,7091.0,7086.5,7090.75,3758
2026-04-17 17:00:00,7090.75,7092.75,7087.75,7088.5,3882
2026-04-17 17:20:00,7088.25,7092.0,7088.25,7090.25,3237
2026-04-17 17:40:00,7090.25,7093.75,7089.75,7093.0,5100
2026-04-17 18:00:00,7093.0,7095.5,7091.5,7091.5,4170
2026-04-17 18:20:00,7091.75,7093.0,7089.25,7089.75,2492
2026-04-17 18:40:00,7090.0,7092.75,7088.0,7091.75,3661
2026-04-17 19:00:00,7091.5,7096.0,7091.25,7095.25,4247
2026-04-17 19:20:00,7095.5,7098.5,7093.25,7097.25,5071
2026-04-17 19:40:00,7097.25,7102.25,7095.5,7101.0,6045
2026-04-17 20:00:00,7101.25,7106.75,7099.5,7105.5,8636
2026-04-17 20:20:00,7105.5,7120.0,7101.75,7113.0,29714
2026-04-17 20:40:00,7113.25,7137.0,7109.25,7136.0,56770
2026-04-17 21:00:00,7136.0,7147.5,7127.5,7140.25,61123
2026-04-17 21:20:00,7140.25,7140.25,7119.0,7130.25,145272
