date,spy_ret_20d,tlt_ret_20d,safe_haven
2002-08-27,0.035408,0.048087,0.01268
2002-08-28,0.010312,0.04047,0.030158
2002-08-29,0.037846,0.042893,0.005047
2002-08-30,0.057495,0.038522,-0.018974
2002-09-03,0.053838,0.049855,-0.003983
2002-09-04,0.034069,0.058666,0.024597
2002-09-05,0.007719,0.061897,0.054178
2002-09-06,-0.010445,0.049417,0.059863
2002-09-09,-0.006901,0.033289,0.040191
2002-09-10,0.011918,0.031937,0.020019
2002-09-11,0.024278,0.014061,-0.010217
2002-09-12,-0.030037,0.018073,0.04811
2002-09-13,-0.040962,0.036525,0.077488
2002-09-16,-0.035721,0.049995,0.085716
2002-09-17,-0.07935,0.048796,0.128146
2002-09-18,-0.078822,0.037478,0.1163
2002-09-19,-0.115405,0.050064,0.165469
2002-09-20,-0.123623,0.054364,0.177987
2002-09-23,-0.111681,0.053407,0.165088
2002-09-24,-0.13207,0.059201,0.191271
2002-09-25,-0.100169,0.052965,0.153134
2002-09-26,-0.064992,0.045237,0.110229
2002-09-27,-0.097884,0.044677,0.142561
2002-09-30,-0.104852,0.042591,0.147443
2002-10-01,-0.024646,0.01407,0.038716
2002-10-02,-0.067202,0.020116,0.087318
2002-10-03,-0.068721,0.012088,0.080809
2002-10-04,-0.098197,0.027339,0.125536
2002-10-07,-0.123266,0.030592,0.153858
2002-10-08,-0.119626,0.026002,0.145628
2002-10-09,-0.13914,0.036696,0.175837
2002-10-10,-0.094562,0.020584,0.115145
2002-10-11,-0.05724,-0.000714,0.056526
2002-10-14,-0.054296,-0.003866,0.05043
2002-10-15,0.014433,-0.029313,-0.043746
2002-10-16,-0.000138,-0.02908,-0.028942
2002-10-17,0.04682,-0.047321,-0.094142
2002-10-18,0.05086,-0.040369,-0.091229
2002-10-21,0.077816,-0.058136,-0.135951
2002-10-22,0.087596,-0.066816,-0.154412
2002-10-23,0.069354,-0.055022,-0.124376
2002-10-24,0.030678,-0.044489,-0.075167
2002-10-25,0.09003,-0.048143,-0.138174
2002-10-28,0.095611,-0.053266,-0.148877
2002-10-29,0.033248,-0.028896,-0.062144
2002-10-30,0.075526,-0.034768,-0.110294
2002-10-31,0.075447,-0.028017,-0.103464
2002-11-01,0.117203,-0.03511,-0.152313
2002-11-04,0.151649,-0.040981,-0.19263
2002-11-05,0.14284,-0.044998,-0.187837
2002-11-06,0.191293,-0.046081,-0.237374
2002-11-07,0.125636,-0.0147,-0.140335
2002-11-08,0.065233,0.005188,-0.060045
2002-11-11,0.042893,0.012131,-0.030762
2002-11-12,0.002931,0.030737,0.027807
2002-11-13,0.028885,0.032473,0.003588
2002-11-14,0.027869,0.023498,-0.004372
2002-11-15,0.031137,0.024978,-0.006158
2002-11-18,0.003439,0.039676,0.036238
2002-11-19,0.009383,0.046448,0.037065
2002-11-20,0.024058,0.035834,0.011776
2002-11-21,0.064849,0.016903,-0.047946
2002-11-22,0.035698,0.012271,-0.023428
2002-11-25,0.043187,0.01181,-0.031377
2002-11-26,0.035339,0.011367,-0.023972
2002-11-27,0.054232,-0.011085,-0.065317
2002-11-29,0.061681,-0.009161,-0.070842
2002-12-02,0.042761,-0.004078,-0.046839
2002-12-03,0.019094,0.00175,-0.017343
2002-12-04,0.006533,0.010812,0.004279
2002-12-05,-0.017304,0.009379,0.026683
2002-12-06,0.013993,-0.013296,-0.027288
2002-12-09,-0.001673,-0.015764,-0.014091
2002-12-10,0.027646,-0.018479,-0.046125
2002-12-11,0.020459,-0.006227,-0.026686
2002-12-12,0.019314,-0.009265,-0.02858
2002-12-13,-0.01532,0.001905,0.017225
2002-12-16,0.002736,-0.009616,-0.012352
2002-12-17,0.004089,-0.014031,-0.01812
2002-12-18,-0.006197,-0.009959,-0.003762
2002-12-19,-0.034752,0.008727,0.043479
2002-12-20,-0.038876,0.019265,0.058141
2002-12-23,-0.03166,0.020447,0.052107
2002-12-24,-0.039484,0.028079,0.067563
2002-12-26,-0.0204,0.017275,0.037676
2002-12-27,-0.068632,0.052195,0.120827
2002-12-30,-0.057853,0.047897,0.10575
2002-12-31,-0.058073,0.044285,0.102358
2003-01-02,-0.014563,0.015855,0.030418
2003-01-03,-0.007042,0.012988,0.02003
2003-01-06,0.021731,0.00771,-0.014021
2003-01-07,0.012558,0.009571,-0.002987
2003-01-08,0.026135,0.008966,-0.01717
2003-01-09,0.028292,-0.013023,-0.041315
2003-01-10,0.030153,-0.01704,-0.047193
2003-01-13,0.029935,-0.014529,-0.044464
2003-01-14,0.049795,-0.001366,-0.051161
2003-01-15,0.013137,0.011108,-0.002029
2003-01-16,0.017856,0.012513,-0.005343
2003-01-17,0.014538,0.009667,-0.004872
2003-01-21,0.005928,0.006519,0.000591
2003-01-22,-0.020224,0.010774,0.030998
2003-01-23,-0.014553,0.005598,0.02015
2003-01-24,-0.03324,0.005938,0.039177
2003-01-27,-0.046874,0.000343,0.047217
2003-01-28,-0.017738,-0.010555,0.007184
2003-01-29,-0.0185,-0.018289,0.000211
2003-01-30,-0.04307,-0.008468,0.034602
2003-01-31,-0.055013,0.020631,0.075644
2003-02-03,-0.056048,0.019755,0.075804
2003-02-04,-0.081541,0.027012,0.108553
2003-02-05,-0.084978,0.014523,0.099501
2003-02-06,-0.075938,0.0177,0.093638
2003-02-07,-0.101174,0.039972,0.141147
2003-02-10,-0.09725,0.030022,0.127271
2003-02-11,-0.103192,0.028105,0.131297
2003-02-12,-0.120326,0.028137,0.148463
2003-02-13,-0.108766,0.028713,0.13748
2003-02-14,-0.085525,0.018471,0.103996
2003-02-18,-0.055482,0.014705,0.070188
2003-02-19,-0.045602,0.015788,0.06139
2003-02-20,-0.043552,0.014244,0.057796
2003-02-21,-0.039792,0.013264,0.053057
