date,breadth,breadth_c2,breadth_c3,breadth_c4,breadth_c5
1993-02-01,71.25,75.0,100.0,100.0,100.0
1993-02-02,74.17,78.75,80.83,100.0,100.0
1993-02-03,75.83,81.67,83.33,84.17,100.0
1993-02-04,77.08,80.83,84.58,86.25,87.08
1993-02-05,72.5,79.58,82.5,85.0,86.67
1993-02-08,68.75,76.67,82.08,84.17,86.25
1993-02-09,67.08,71.67,77.5,82.5,84.58
1993-02-10,65.42,71.67,75.0,79.58,84.17
1993-02-11,66.25,71.25,74.17,76.67,80.83
1993-02-12,62.5,70.0,74.17,76.25,78.75
1993-02-16,35.0,64.17,70.42,74.17,76.25
1993-02-17,32.5,40.83,66.25,72.5,75.42
1993-02-18,31.25,37.5,43.75,67.08,72.92
1993-02-19,39.17,42.08,45.42,49.58,70.42
1993-02-22,37.92,43.33,45.0,48.33,52.5
1993-02-23,37.34,42.74,46.89,48.55,51.45
1993-02-24,45.23,49.38,50.21,52.7,53.53
1993-02-25,50.21,53.53,56.43,57.26,58.92
1993-02-26,51.87,59.75,61.41,63.49,64.32
1993-03-01,48.96,57.68,63.07,64.32,66.39
1993-03-02,61.41,64.73,66.8,69.71,70.12
1993-03-03,70.12,73.03,73.44,74.69,77.59
1993-03-04,65.56,74.69,76.35,76.76,77.59
1993-03-05,65.98,73.03,78.01,79.25,79.67
1993-03-08,78.42,81.33,83.82,86.72,87.97
1993-03-09,78.84,84.23,84.65,85.89,88.38
1993-03-10,81.74,87.14,88.8,89.21,90.46
1993-03-11,75.93,84.65,87.97,89.63,90.04
1993-03-12,67.36,79.34,86.36,89.26,90.91
1993-03-15,70.66,77.27,84.3,89.67,91.74
1993-03-16,69.83,77.69,80.17,86.78,90.91
1993-03-17,62.4,73.97,80.58,82.64,88.43
1993-03-18,68.18,71.07,78.51,82.64,84.71
1993-03-19,59.67,72.43,74.07,79.84,83.54
1993-03-22,53.91,63.37,74.07,75.72,80.25
1993-03-23,51.03,60.91,67.08,76.13,77.78
1993-03-24,53.5,58.02,64.61,69.14,77.78
1993-03-25,61.07,64.75,67.62,72.95,76.64
1993-03-26,57.38,65.98,67.62,70.08,75.0
1993-03-29,57.79,64.75,69.67,70.9,72.54
1993-03-30,57.79,65.16,69.67,73.36,74.59
1993-03-31,61.48,69.26,72.13,75.0,78.28
1993-04-01,58.61,68.03,72.54,75.0,77.46
1993-04-02,34.43,61.07,69.26,73.36,75.82
1993-04-05,37.3,42.21,63.11,70.49,74.59
1993-04-06,36.89,43.85,46.72,65.16,72.13
1993-04-07,43.03,46.31,50.0,52.05,66.8
1993-04-08,41.8,48.36,50.41,53.69,55.74
1993-04-12,52.05,55.33,59.43,60.66,63.52
1993-04-13,59.02,63.11,64.34,66.39,67.62
1993-04-14,55.33,63.52,65.98,66.8,68.85
1993-04-15,55.74,63.52,68.85,70.9,71.31
1993-04-16,59.43,63.52,66.8,70.08,72.13
1993-04-19,52.87,63.11,65.57,68.85,71.72
1993-04-20,46.72,57.79,65.16,67.62,70.49
1993-04-21,43.44,52.46,60.25,66.39,68.03
1993-04-22,37.3,49.59,56.56,63.11,68.44
1993-04-23,32.65,43.27,53.06,59.18,65.31
1993-04-26,29.39,38.37,44.9,54.69,60.41
1993-04-27,32.65,38.37,44.49,49.39,57.96
1993-04-28,38.62,42.28,45.12,49.59,53.66
1993-04-29,42.68,47.15,48.78,50.81,54.88
1993-04-30,46.34,53.25,54.47,55.69,57.32
1993-05-03,53.85,59.92,62.75,63.16,64.37
1993-05-04,59.11,65.59,67.61,69.23,69.64
1993-05-05,64.78,70.85,71.66,72.87,74.49
1993-05-06,57.89,69.23,72.06,72.87,74.09
1993-05-07,58.7,65.18,71.66,73.68,74.49
1993-05-10,55.87,64.78,68.83,74.9,76.52
1993-05-11,59.11,65.99,70.85,74.09,78.14
1993-05-12,58.3,65.18,70.45,74.09,76.11
1993-05-13,49.39,62.35,67.21,71.26,74.49
1993-05-14,51.42,58.7,66.4,70.04,73.68
1993-05-17,53.04,59.11,62.75,69.23,72.87
1993-05-18,48.18,59.51,62.35,65.18,70.85
1993-05-19,60.73,65.59,70.85,72.06,73.68
1993-05-20,63.16,68.02,70.45,74.09,75.3
1993-05-21,58.7,68.02,70.04,72.06,75.71
1993-05-24,59.11,65.18,70.45,71.66,73.28
1993-05-25,58.7,64.78,67.61,71.66,72.87
1993-05-26,68.02,71.66,74.49,76.52,79.35
1993-05-27,65.18,73.68,76.11,78.54,80.16
1993-05-28,63.16,72.47,77.33,78.95,80.57
1993-06-01,70.45,76.92,80.57,83.4,84.62
1993-06-02,69.64,75.71,79.76,83.0,85.43
1993-06-03,68.15,76.61,80.65,83.06,86.29
1993-06-04,55.65,70.97,77.82,81.45,83.87
1993-06-07,52.42,62.5,73.39,79.44,82.66
1993-06-08,43.95,56.05,64.52,74.19,80.24
1993-06-09,45.97,51.61,60.08,66.94,75.0
1993-06-10,43.15,51.61,55.24,62.5,68.55
1993-06-11,48.79,55.65,60.89,63.71,69.76
1993-06-14,52.02,61.29,66.13,69.35,71.37
1993-06-15,54.84,62.1,67.34,70.97,72.98
1993-06-16,52.42,61.69,66.53,70.56,74.19
1993-06-17,54.44,60.48,65.73,68.95,72.98
1993-06-18,44.76,56.85,61.69,66.13,69.35
1993-06-21,44.35,51.61,59.68,63.31,67.74
1993-06-22,45.16,52.82,58.47,64.52,67.74
1993-06-23,43.15,52.02,56.45,61.69,66.13
1993-06-24,50.0,53.23,58.87,61.69,66.53
1993-06-25,54.03,59.27,61.29,65.32,66.94
1993-06-28,62.9,65.73,68.15,69.76,71.37
1993-06-29,63.71,70.97,72.58,73.39,74.6
1993-06-30,67.34,71.37,75.4,76.61,77.42
1993-07-01,65.73,70.56,74.19,77.42,78.63
1993-07-02,63.31,68.15,72.58,75.4,78.63
1993-07-06,55.65,66.13,70.16,73.79,76.61
1993-07-07,54.44,59.68,66.94,70.16,73.79
1993-07-08,62.9,66.53,68.55,72.98,75.0
1993-07-09,60.89,67.74,70.97,71.77,76.21
1993-07-12,62.9,66.94,70.97,73.79,74.6
1993-07-13,62.1,68.95,71.37,74.6,77.02
1993-07-14,65.32,70.97,74.19,76.21,79.03
1993-07-15,62.1,70.56,75.0,77.82,79.84
1993-07-16,53.23,65.73,72.98,77.42,80.24
1993-07-19,50.81,58.87,68.55,75.0,79.03
1993-07-20,50.81,58.87,64.11,70.97,77.02
1993-07-21,55.24,61.29,66.94,70.56,76.21
1993-07-22,46.59,60.24,64.26,68.27,71.49
1993-07-23,54.62,58.63,66.67,70.28,73.09
1993-07-26,60.24,64.26,66.27,71.89,75.1
1993-07-27,57.43,65.46,67.47,69.48,74.3
1993-07-28,56.63,65.06,69.08,69.88,71.89
1993-07-29,62.65,67.07,71.49,73.9,74.3
1993-07-30,56.63,67.07,70.28,74.3,76.31
1993-08-02,57.03,63.05,70.28,72.69,75.9
1993-08-03,61.85,65.46,69.08,75.5,77.11
1993-08-04,61.04,67.87,70.28,73.09,79.12
1993-08-05,62.25,66.67,70.68,72.69,75.1
1993-08-06,64.66,69.48,71.49,74.7,76.31
1993-08-09,69.08,73.9,75.9,77.11,79.12
1993-08-10,66.67,72.29,75.1,76.71,77.51
1993-08-11,68.67,73.9,75.9,77.51,79.12
1993-08-12,64.0,72.8,76.4,78.0,79.2
1993-08-13,67.6,73.6,76.8,79.6,80.4
1993-08-16,70.4,77.2,78.0,80.8,82.8
1993-08-17,68.4,78.4,82.4,83.2,85.6
1993-08-18,74.4,79.2,84.4,87.2,88.0
1993-08-19,70.4,79.6,82.0,86.4,88.4
1993-08-20,70.8,77.2,83.2,84.8,88.8
1993-08-23,70.8,77.2,81.6,86.8,88.0
1993-08-24,78.8,83.2,85.2,87.6,90.8
1993-08-25,77.2,84.8,87.2,88.8,90.4
1993-08-26,75.6,82.8,87.6,88.8,90.0
1993-08-27,68.4,79.6,84.4,88.0,89.2
1993-08-30,71.2,75.6,83.2,86.8,89.6
1993-08-31,75.6,79.2,81.6,86.8,89.6
1993-09-01,74.8,81.6,82.8,85.2,89.2
