date,breadth
2020-06-01,57.5
2020-06-08,93.64
2020-06-15,64.77
2020-06-22,66.14
2020-06-29,59.32
2020-07-06,73.64
2020-07-13,72.05
2020-07-20,81.82
2020-07-27,85.45
2020-08-03,86.82
2020-08-10,91.59
2020-08-17,88.41
2020-08-24,84.09
2020-08-31,83.41
2020-09-07,79.09
2020-09-14,74.32
2020-09-21,62.27
2020-09-28,68.64
2020-10-05,73.92
2020-10-12,81.63
2020-10-19,71.43
2020-10-26,68.03
2020-11-02,57.6
2020-11-09,78.46
2020-11-16,87.53
2020-11-23,84.58
2020-11-30,85.26
2020-12-07,85.71
2020-12-14,81.67
2020-12-21,83.94
2020-12-28,84.62
2021-01-04,80.32
2021-01-11,85.97
2021-01-18,83.48
2021-01-25,86.43
2021-02-01,75.57
2021-02-08,83.26
2021-02-15,81.04
2021-02-22,73.36
2021-03-01,73.59
2021-03-08,69.75
2021-03-15,82.17
2021-03-22,80.14
2021-03-29,83.52
2021-04-05,88.94
2021-04-12,91.87
2021-04-19,92.79
2021-04-26,92.12
2021-05-03,87.84
2021-05-10,84.46
2021-05-17,82.21
2021-05-24,83.56
2021-05-31,83.11
2021-06-07,84.01
2021-06-14,81.98
2021-06-21,71.4
2021-06-28,74.55
2021-07-05,77.03
2021-07-12,73.42
2021-07-19,52.7
2021-07-26,65.99
2021-08-02,61.57
2021-08-09,62.92
2021-08-16,67.87
2021-08-23,64.04
2021-08-30,66.52
2021-09-06,66.29
2021-09-13,58.65
2021-09-20,44.72
2021-09-27,58.43
2021-10-04,42.25
2021-10-11,47.42
2021-10-18,59.78
2021-10-25,69.66
2021-11-01,68.99
2021-11-08,74.16
2021-11-15,75.96
2021-11-22,67.42
2021-11-29,60.67
2021-12-06,57.53
2021-12-13,62.25
2021-12-20,51.24
2021-12-27,74.61
2022-01-03,75.51
2022-01-10,66.97
2022-01-17,63.82
2022-01-24,41.93
2022-01-31,46.64
2022-02-07,45.29
2022-02-14,41.48
2022-02-21,38.79
2022-02-28,39.01
2022-03-07,32.74
2022-03-14,29.6
2022-03-21,43.72
2022-03-28,49.55
2022-04-04,51.57
2022-04-11,45.29
2022-04-18,46.19
2022-04-25,44.17
2022-05-02,31.61
2022-05-09,25.11
2022-05-16,27.58
2022-05-23,24.66
2022-05-30,40.58
2022-06-06,37.44
2022-06-13,9.87
2022-06-20,5.61
2022-06-27,17.26
2022-07-04,19.06
