date,close
1990-01-08,20.26
1990-01-15,26.34
1990-01-22,26.7
1990-01-29,26.44
1990-02-05,27.25
1990-02-12,24.69
1990-02-19,23.76
1990-02-26,23.89
1990-03-05,22.69
1990-03-12,20.55
1990-03-19,21.05
1990-03-26,22.74
1990-04-02,22.84
1990-04-09,22.3
1990-04-16,21.69
1990-04-23,24.16
1990-04-30,22.19
1990-05-07,19.32
1990-05-14,20.14
1990-05-21,19.49
1990-05-28,17.84
1990-06-04,18.75
1990-06-11,18.97
1990-06-18,17.71
1990-06-25,19.36
1990-07-02,16.29
1990-07-09,17.25
1990-07-16,17.09
1990-07-23,23.68
1990-07-30,21.79
1990-08-06,35.91
1990-08-13,32.75
1990-08-20,27.53
1990-08-27,36.47
1990-09-03,29.9
1990-09-10,30.19
1990-09-17,30.56
1990-09-24,30.56
1990-10-01,29.11
1990-10-08,28.04
1990-10-15,33.98
1990-10-22,31.45
1990-10-29,31.54
1990-11-05,30.52
1990-11-12,30.87
1990-11-19,24.58
1990-11-26,22.76
1990-12-03,23.91
1990-12-10,23.58
1990-12-17,24.85
1990-12-24,24.03
1990-12-31,26.38
1991-01-07,28.95
1991-01-14,36.2
1991-01-21,36.16
1991-01-28,24.9
1991-02-04,23.17
1991-02-11,23.6
1991-02-18,22.26
1991-02-25,22.86
1991-03-04,21.26
1991-03-11,21.05
1991-03-18,18.82
1991-03-25,16.86
1991-04-01,17.42
1991-04-08,18.01
1991-04-15,20.12
1991-04-22,16.78
1991-04-29,18.27
1991-05-06,18.24
1991-05-13,17.78
1991-05-20,18.38
1991-05-27,16.16
1991-06-03,16.87
1991-06-10,17.47
1991-06-17,17.72
1991-06-24,18.28
1991-07-01,19.55
1991-07-08,20.29
1991-07-15,19.76
1991-07-22,17.52
1991-07-29,16.58
1991-08-05,15.92
1991-08-12,15.98
1991-08-19,21.19
1991-08-26,18.86
1991-09-02,15.46
1991-09-09,17.73
1991-09-16,18.22
1991-09-23,17.68
1991-09-30,16.31
1991-10-07,18.58
1991-10-14,18.54
1991-10-21,16.66
1991-10-28,16.55
1991-11-04,16.35
1991-11-11,16.48
1991-11-18,21.18
1991-11-25,21.92
1991-12-02,20.26
1991-12-09,20.19
1991-12-16,20.57
1991-12-23,18.12
1991-12-30,17.63
1992-01-06,19.31
1992-01-13,19.23
1992-01-20,17.64
1992-01-27,17.92
1992-02-03,18.2
1992-02-10,18.79
1992-02-17,17.7
1992-02-24,18.22
1992-03-02,16.88
1992-03-09,19.75
1992-03-16,19.79
1992-03-23,16.82
1992-03-30,16.32
1992-04-06,17.06
1992-04-13,20.15
1992-04-20,15.98
1992-04-27,16.53
1992-05-04,16.92
1992-05-11,16.81
1992-05-18,15.68
1992-05-25,13.92
1992-06-01,14.92
1992-06-08,15.19
1992-06-15,16.62
1992-06-22,18.2
1992-06-29,14.67
1992-07-06,14.87
1992-07-13,15.83
1992-07-20,13.5
1992-07-27,13.9
1992-08-03,13.83
1992-08-10,14.51
1992-08-17,15.34
1992-08-24,16.19
1992-08-31,15.62
1992-09-07,13.4
1992-09-14,13.65
1992-09-21,14.72
1992-09-28,15.19
1992-10-05,20.01
1992-10-12,21.02
1992-10-19,18.42
1992-10-26,16.87
1992-11-02,16.67
1992-11-09,17.33
1992-11-16,14.86
1992-11-23,15.01
1992-11-30,13.01
1992-12-07,12.8
1992-12-14,12.75
1992-12-21,12.58
1992-12-28,12.22
1993-01-04,13.36
1993-01-11,14.72
1993-01-18,12.78
1993-01-25,12.15
1993-02-01,12.42
1993-02-08,13.22
1993-02-15,13.48
1993-02-22,15.9
1993-03-01,15.04
1993-03-08,16.22
1993-03-15,15.66
1993-03-22,14.53
1993-03-29,13.02
1993-04-05,14.5
1993-04-12,14.24
1993-04-19,12.06
1993-04-26,15.25
1993-05-03,13.93
1993-05-10,13.72
1993-05-17,14.76
1993-05-24,14.51
1993-05-31,14.04
1993-06-07,14.07
1993-06-14,14.74
1993-06-21,12.25
1993-06-28,12.25
1993-07-05,11.51
1993-07-12,13.87
1993-07-19,11.46
1993-07-26,11.97
1993-08-02,11.73
1993-08-09,12.39
1993-08-16,12.38
1993-08-23,12.15
1993-08-30,12.14
1993-09-06,11.87
1993-09-13,13.24
1993-09-20,14.6
1993-09-27,17.3
1993-10-04,12.99
1993-10-11,13.14
1993-10-18,12.41
1993-10-25,11.83
1993-11-01,12.01
1993-11-08,14.97
1993-11-15,14.46
1993-11-22,15.9
1993-11-29,14.27
1993-12-06,13.83
1993-12-13,12.6
1993-12-20,11.13
1993-12-27,10.08
