variant,pct,price_lambda,stage1_precision,stage1_day_recall,stage1_event_recall,gt_days_per_event,oos_samples,positive_rate,auc_roc,auc_pr,precision,recall,event_recall,selected_premium_median,selected_count
v3_n2_temporal,0.0005,0.0,0.11760409057706354,0.6544715447154471,0.6727272727272727,1.1181818181818182,1369,0.11760409057706354,0.61705092345029,0.1409986507800664,0.16265060240963855,0.6708074534161491,0.4681818181818182,0.0,664
v3_n2_stored_oos,0.0005,0.0,0.11760409057706354,0.6544715447154471,0.6727272727272727,1.1181818181818182,1369,0.11760409057706354,0.6071068652050512,0.13560130295968553,0.16314199395770393,0.6708074534161491,0.4681818181818182,0.0,662
spatial,0.0005,0.0,0.11760409057706354,0.6544715447154471,0.6727272727272727,1.1181818181818182,1369,0.11760409057706354,0.787573012216692,0.24241847156919036,0.2148876404494382,0.9503105590062112,0.65,0.0,712
spatial,0.0005,0.25,0.11760409057706354,0.6544715447154471,0.6727272727272727,1.1181818181818182,1369,0.11760409057706354,0.7932340298630252,0.25297446095439974,0.21329639889196675,0.9565217391304348,0.6545454545454545,0.0,722
spatial,0.0005,0.5,0.11760409057706354,0.6544715447154471,0.6727272727272727,1.1181818181818182,1369,0.11760409057706354,0.7905809098761878,0.24911498102198618,0.21678321678321677,0.9627329192546584,0.6545454545454545,0.0,715
spatial,0.0005,1.0,0.11760409057706354,0.6544715447154471,0.6727272727272727,1.1181818181818182,1369,0.11760409057706354,0.791917753280408,0.2503216234278798,0.21666666666666667,0.968944099378882,0.6590909090909091,0.0,720
spatial,0.0005,2.0,0.11760409057706354,0.6544715447154471,0.6727272727272727,1.1181818181818182,1369,0.11760409057706354,0.7928355476944593,0.24896773957271567,0.22081575246132207,0.9751552795031055,0.6590909090909091,0.0,711
spatial,0.0005,4.0,0.11760409057706354,0.6544715447154471,0.6727272727272727,1.1181818181818182,1369,0.11760409057706354,0.7901541483279174,0.24474961299124273,0.2164804469273743,0.9627329192546584,0.6545454545454545,0.0,716
v3_n2_temporal,0.001,0.0,0.12490869247626005,0.6477272727272727,0.6772727272727272,1.2,1369,0.12490869247626005,0.6121850257251364,0.14841779190466522,0.17018072289156627,0.6608187134502924,0.4727272727272727,0.0,664
v3_n2_stored_oos,0.001,0.0,0.12490869247626005,0.6477272727272727,0.6772727272727272,1.2,1369,0.12490869247626005,0.6014751681652657,0.14297398866073746,0.17069486404833836,0.6608187134502924,0.4681818181818182,0.0,662
spatial,0.001,0.0,0.12490869247626005,0.6477272727272727,0.6772727272727272,1.2,1369,0.12490869247626005,0.7809921994747581,0.25868901128168986,0.22346368715083798,0.935672514619883,0.6545454545454545,0.0,716
spatial,0.001,0.25,0.12490869247626005,0.6477272727272727,0.6772727272727272,1.2,1369,0.12490869247626005,0.7796156361967801,0.25710014975221523,0.22346368715083798,0.935672514619883,0.6545454545454545,0.0,716
spatial,0.001,0.5,0.12490869247626005,0.6477272727272727,0.6772727272727272,1.2,1369,0.12490869247626005,0.7824981206494256,0.2634073114160444,0.22423398328690808,0.9415204678362573,0.6545454545454545,0.0,718
spatial,0.001,1.0,0.12490869247626005,0.6477272727272727,0.6772727272727272,1.2,1369,0.12490869247626005,0.7800305577521991,0.2583726487488726,0.22468793342579751,0.9473684210526315,0.6590909090909091,0.0,721
spatial,0.001,2.0,0.12490869247626005,0.6477272727272727,0.6772727272727272,1.2,1369,0.12490869247626005,0.7818684161712015,0.26095448635088947,0.22562674094707522,0.9473684210526315,0.6590909090909091,0.0,718
spatial,0.001,4.0,0.12490869247626005,0.6477272727272727,0.6772727272727272,1.2,1369,0.12490869247626005,0.783293793749817,0.26550726778618605,0.22406639004149378,0.9473684210526315,0.6590909090909091,0.0,723
v3_n2_temporal,0.0015,0.0,0.13075237399561723,0.6193771626297578,0.6772727272727272,1.3136363636363637,1369,0.13075237399561723,0.611529975118539,0.15505187976884782,0.17771084337349397,0.659217877094972,0.4727272727272727,0.0,664
v3_n2_stored_oos,0.0015,0.0,0.13075237399561723,0.6193771626297578,0.6772727272727272,1.3136363636363637,1369,0.13075237399561723,0.6014647199661988,0.14952276651001606,0.1782477341389728,0.659217877094972,0.4681818181818182,0.0,662
spatial,0.0015,0.0,0.13075237399561723,0.6193771626297578,0.6772727272727272,1.3136363636363637,1369,0.13075237399561723,0.7893432233228486,0.2670059940070148,0.24084507042253522,0.9553072625698324,0.6681818181818182,0.0,710
spatial,0.0015,0.25,0.13075237399561723,0.6193771626297578,0.6772727272727272,1.3136363636363637,1369,0.13075237399561723,0.7913243509694381,0.2729327914734032,0.2361111111111111,0.9497206703910615,0.6636363636363637,0.0,720
spatial,0.0015,0.5,0.13075237399561723,0.6193771626297578,0.6772727272727272,1.3136363636363637,1369,0.13075237399561723,0.7895028402422422,0.2737362466362919,0.24293785310734464,0.9608938547486033,0.6636363636363637,0.0,708
spatial,0.0015,1.0,0.13075237399561723,0.6193771626297578,0.6772727272727272,1.3136363636363637,1369,0.13075237399561723,0.7917210459602836,0.27209876238524805,0.24225352112676057,0.9608938547486033,0.6636363636363637,0.0,710
spatial,0.0015,2.0,0.13075237399561723,0.6193771626297578,0.6772727272727272,1.3136363636363637,1369,0.13075237399561723,0.7912703628937608,0.27391177881783946,0.2388888888888889,0.9608938547486033,0.6636363636363637,0.0,720
spatial,0.0015,4.0,0.13075237399561723,0.6193771626297578,0.6772727272727272,1.3136363636363637,1369,0.13075237399561723,0.7900967090746913,0.2709253419733444,0.24293785310734464,0.9608938547486033,0.6636363636363637,0.0,708
v3_n2_temporal,0.002,0.0,0.14097881665449233,0.5975232198142415,0.6818181818181818,1.4681818181818183,1369,0.14097881665449233,0.6076803778506221,0.1670536519861628,0.18825301204819278,0.6476683937823834,0.4863636363636364,0.0,664
