period,variant,start,end,trading_days,predicted_days,gt_days,pr_auc,tp,fp,fn,tn,precision,recall,f1,accuracy,specificity,gt_base_rate,precision_lift,predicted_clusters,hit_clusters,gt_events,hit_events,event_precision,event_recall,event_f1
development,stage1_nday2,2005-03-31,2019-12-31,3715,978,613,0.2373278416531298,304,674,309,2428,0.310838445807771,0.49592169657422513,0.38214959145191707,0.7353970390309555,0.7827208252740168,0.16500672947510095,1.8837925386229513,162,136,158,124,0.8395061728395061,0.7848101265822784,0.8112372522609198
development,v3_n2_stored_oos,2005-03-31,2019-12-31,3715,460,613,0.2581530516584254,169,291,444,2811,0.3673913043478261,0.27569331158238175,0.31500465983224607,0.8021534320323015,0.9061895551257253,0.16500672947510095,2.2265231576707567,192,104,158,92,0.5416666666666666,0.5822784810126582,0.5612388549976537
development,spatial_p0080_l025_q50,2005-03-31,2019-12-31,3715,510,613,0.3229272952229245,236,274,377,2828,0.4627450980392157,0.38499184339314846,0.42030276046304543,0.824764468371467,0.9116698903932946,0.16500672947510095,2.8044013690304834,231,157,158,117,0.6796536796536796,0.740506329113924,0.7087762622267667
final_test,stage1_nday2,2020-01-02,2026-04-02,1571,391,158,0.1552162226673983,81,310,77,1103,0.2071611253196931,0.5126582278481012,0.29508196721311475,0.7536600891152132,0.7806086341118188,0.10057288351368555,2.059810935931885,64,40,61,38,0.625,0.6229508196721312,0.6239737274220033
final_test,v3_n2_stored_oos,2020-01-02,2026-04-02,1571,202,158,0.1632414788869301,46,156,112,1257,0.22772277227722773,0.2911392405063291,0.2555555555555556,0.8294080203691916,0.8895966029723992,0.10057288351368555,2.264256172452688,73,33,61,31,0.4520547945205479,0.5081967213114754,0.4784845650140318
final_test,spatial_p0080_l025_q50,2020-01-02,2026-04-02,1571,195,158,0.21613520254582755,64,131,94,1282,0.3282051282051282,0.4050632911392405,0.3626062322946175,0.8567791215786124,0.9072894550601557,0.10057288351368555,3.263356053229471,90,43,61,36,0.4777777777777778,0.5901639344262295,0.5280573085451133
all_common_oos,stage1_nday2,2005-03-31,2026-04-02,5286,1369,771,0.21345428820037082,385,984,386,3531,0.28122717311906503,0.4993514915693904,0.3598130841121496,0.7408248202799849,0.7820598006644518,0.14585698070374575,1.9281022530575587,226,176,219,162,0.7787610619469026,0.7397260273972602,0.7587418170205972
all_common_oos,v3_n2_stored_oos,2005-03-31,2026-04-02,5286,662,771,0.22935057976801954,215,447,556,4068,0.324773413897281,0.2788586251621271,0.3000697836706211,0.8102534998108211,0.9009966777408638,0.14585698070374575,2.2266566353580117,265,137,219,123,0.5169811320754717,0.5616438356164384,0.5383878079171859
all_common_oos,spatial_p0080_l025_q50,2005-03-31,2026-04-02,5286,705,771,0.29419774888709976,300,405,471,4110,0.425531914893617,0.38910505836575876,0.40650406504065045,0.8342792281498297,0.9102990033222591,0.14585698070374575,2.9174600546402845,321,200,219,153,0.6230529595015576,0.6986301369863014,0.6586807013012173
all_new_oos,stage1_nday2,2005-03-31,2026-06-26,5344,1376,782,0.2141691365232421,389,987,393,3575,0.282703488372093,0.49744245524296676,0.360518999073216,0.7417664670658682,0.783647523016221,0.1463323353293413,1.9319276750133827,228,178,222,164,0.7807017543859649,0.7387387387387387,0.7591407915951527
all_new_oos,spatial_p0080_l025_q50,2005-03-31,2026-06-26,5344,711,782,0.29383491220586966,304,407,478,4155,0.42756680731364277,0.3887468030690537,0.4072337575351641,0.8343937125748503,0.9107847435335379,0.1463323353293413,2.92188877018428,323,202,222,155,0.6253869969040248,0.6981981981981982,0.659789904013318
