variant,pct,price_lambda,test_start,test_end,samples,small_sample_warning,positive_rate,auc_roc,auc_pr,precision_at_050,recall_at_050,selected_at_050,selected_positive_premium_median
deployed_v3_n2,0.0005,0.0,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.5,0.6428571428571428,1.0,0.5,1,0.0
spatial_p0005,0.0005,0.25,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.8,0.75,0.5,0.5,2,0.0
deployed_v3_n2,0.001,0.0,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.5,0.6428571428571428,1.0,0.5,1,0.0
spatial_p0010,0.001,0.25,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.8,0.75,0.5,0.5,2,0.0
deployed_v3_n2,0.0015,0.0,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.5,0.6428571428571428,1.0,0.5,1,0.0
spatial_p0015,0.0015,0.25,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.8,0.75,0.5,0.5,2,0.0
deployed_v3_n2,0.002,0.0,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.5,0.6428571428571428,1.0,0.5,1,0.0
spatial_p0020,0.002,0.25,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.7,0.7,1.0,0.5,1,0.0
deployed_v3_n2,0.0025,0.0,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.5,0.6428571428571428,1.0,0.5,1,0.0
spatial_p0025,0.0025,0.25,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.7,0.7,0.3333333333333333,0.5,3,0.0
deployed_v3_n2,0.003,0.0,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.5,0.6428571428571428,1.0,0.5,1,0.0
spatial_p0030,0.003,0.25,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.7,0.7,0.3333333333333333,0.5,3,0.0
deployed_v3_n2,0.0035,0.0,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.5,0.6428571428571428,1.0,0.5,1,0.0
spatial_p0035,0.0035,0.25,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.7,0.7,0.5,0.5,2,0.0
deployed_v3_n2,0.004,0.0,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.5,0.6428571428571428,1.0,0.5,1,0.0
spatial_p0040,0.004,0.25,2026-06-08,2026-06-26,7,True,0.2857142857142857,0.7,0.7,1.0,0.5,1,0.0
deployed_v3_n2,0.006,0.0,2026-06-08,2026-06-26,7,True,0.42857142857142855,0.41666666666666663,0.6095238095238096,1.0,0.3333333333333333,1,0.0
spatial_p0060,0.006,0.25,2026-06-08,2026-06-26,7,True,0.42857142857142855,0.6666666666666666,0.7,0.5,0.3333333333333333,2,0.0
deployed_v3_n2,0.008,0.0,2026-06-08,2026-06-26,7,True,0.5714285714285714,0.25,0.6178571428571429,1.0,0.25,1,0.0
spatial_p0080,0.008,0.25,2026-06-08,2026-06-26,7,True,0.5714285714285714,0.5833333333333334,0.7333333333333333,0.5,0.25,2,0.0
deployed_v3_n2,0.01,0.0,2026-06-08,2026-06-26,7,True,0.5714285714285714,0.25,0.6178571428571429,1.0,0.25,1,0.0
spatial_p0100,0.01,0.25,2026-06-08,2026-06-26,7,True,0.5714285714285714,0.5,0.6916666666666667,1.0,0.25,1,0.0
deployed_v3_n2,0.012,0.0,2026-06-08,2026-06-26,7,True,0.5714285714285714,0.25,0.6178571428571429,1.0,0.25,1,0.0
spatial_p0120,0.012,0.25,2026-06-08,2026-06-26,7,True,0.5714285714285714,0.6666666666666667,0.8166666666666667,0.5,0.5,4,0.0029149920142480523
deployed_v3_n2,0.015,0.0,2026-06-08,2026-06-26,7,True,0.5714285714285714,0.25,0.6178571428571429,1.0,0.25,1,0.0
spatial_p0150,0.015,0.25,2026-06-08,2026-06-26,7,True,0.5714285714285714,0.6666666666666667,0.8166666666666667,0.5,0.5,4,0.0029149920142480523
