pct,price_lambda,period,samples,auc_roc,auc_pr,precision,recall
0.0005,0.0,2005-2012,604,0.77979587357331,0.23154768003287207,0.20064724919093851,0.9117647058823529
0.0005,0.0,2013-2019,374,0.8182581018518519,0.3263861079039202,0.27319587628865977,0.9814814814814815
0.0005,0.0,2020-2026,391,0.767263986013986,0.21305235488714194,0.18181818181818182,0.9743589743589743
0.0005,0.25,2005-2012,604,0.7826904082528534,0.2424602349358204,0.20063694267515925,0.9264705882352942
0.0005,0.25,2013-2019,374,0.8228298611111111,0.3368877371094916,0.2676767676767677,0.9814814814814815
0.0005,0.25,2020-2026,391,0.7787733100233101,0.21686015856523755,0.18095238095238095,0.9743589743589743
0.0005,0.5,2005-2012,604,0.7803720368744512,0.2357135935341084,0.20447284345047922,0.9411764705882353
0.0005,0.5,2013-2019,374,0.8177372685185186,0.3239664698129094,0.27319587628865977,0.9814814814814815
0.0005,0.5,2020-2026,391,0.7767701048951049,0.2254958547074104,0.18269230769230768,0.9743589743589743
0.0005,1.0,2005-2012,604,0.7839799165935031,0.23670341286726856,0.2070063694267516,0.9558823529411765
0.0005,1.0,2013-2019,374,0.8212094907407408,0.3329095453539253,0.2717948717948718,0.9814814814814815
0.0005,1.0,2020-2026,391,0.7723630536130537,0.2190423741541826,0.18009478672985782,0.9743589743589743
0.0005,2.0,2005-2012,604,0.7886989683933274,0.24549467048283677,0.21221864951768488,0.9705882352941176
0.0005,2.0,2013-2019,374,0.8154224537037038,0.3150560598858853,0.27461139896373055,0.9814814814814815
0.0005,2.0,2020-2026,391,0.7738563519813519,0.22461864911367715,0.18357487922705315,0.9743589743589743
0.0005,4.0,2005-2012,604,0.781112818261633,0.23192446079520018,0.20447284345047922,0.9411764705882353
0.0005,4.0,2013-2019,374,0.8156539351851853,0.31920655153782607,0.27461139896373055,0.9814814814814815
0.0005,4.0,2020-2026,391,0.779173951048951,0.22357575025825135,0.18095238095238095,0.9743589743589743
0.001,0.0,2005-2012,604,0.7658337582865884,0.260700979947759,0.21035598705501618,0.8783783783783784
0.001,0.0,2013-2019,374,0.8124727193365342,0.32235513581380204,0.2878787878787879,0.9827586206896551
0.001,0.0,2020-2026,391,0.7703962703962703,0.2568192348966465,0.18181818181818182,0.9743589743589743
0.001,0.25,2005-2012,604,0.7622386537480879,0.2555602087286276,0.21103896103896103,0.8783783783783784
0.001,0.25,2013-2019,374,0.809908336970755,0.32061618138361153,0.2878787878787879,0.9827586206896551
0.001,0.25,2020-2026,391,0.7766244172494172,0.24078834832479742,0.18095238095238095,0.9743589743589743
0.001,0.5,2005-2012,604,0.7630545639979601,0.25565808284825303,0.21359223300970873,0.8918918918918919
0.001,0.5,2013-2019,374,0.8148188563945875,0.3277301792859547,0.2878787878787879,0.9827586206896551
0.001,0.5,2020-2026,391,0.7816870629370629,0.25523674931986146,0.18009478672985782,0.9743589743589743
0.001,1.0,2005-2012,604,0.761116777154513,0.2522940946189562,0.21474358974358973,0.9054054054054054
0.001,1.0,2013-2019,374,0.814764295067656,0.32681944266144575,0.2893401015228426,0.9827586206896551
0.001,1.0,2020-2026,391,0.7780812937062938,0.25175909030969174,0.1792452830188679,0.9743589743589743
0.001,2.0,2005-2012,604,0.7628888322284548,0.2580348025617225,0.21543408360128619,0.9054054054054054
0.001,2.0,2013-2019,374,0.8159100829332169,0.32718653156578936,0.2893401015228426,0.9827586206896551
0.001,2.0,2020-2026,391,0.7730186480186481,0.2717818784622245,0.18095238095238095,0.9743589743589743
0.001,4.0,2005-2012,604,0.7628505864354921,0.261125314865494,0.2113564668769716,0.9054054054054054
0.001,4.0,2013-2019,374,0.8165920995198603,0.33053671404751495,0.2893401015228426,0.9827586206896551
0.001,4.0,2020-2026,391,0.780011655011655,0.2933665492379128,0.18181818181818182,0.9743589743589743
0.0015,0.0,2005-2012,604,0.7897804283003523,0.2760429890916612,0.23529411764705882,0.935064935064935
0.0015,0.0,2013-2019,374,0.8032377919320595,0.32016298275269794,0.2914572864321608,0.9666666666666667
0.0015,0.0,2020-2026,391,0.7717969709373721,0.23656578822972157,0.2,0.9761904761904762
0.0015,0.25,2005-2012,604,0.7941792552798246,0.2848167331694858,0.2268370607028754,0.922077922077922
0.0015,0.25,2013-2019,374,0.8050955414012738,0.32540156935693154,0.29591836734693877,0.9666666666666667
0.0015,0.25,2020-2026,391,0.7735025242188566,0.2474869103511525,0.1943127962085308,0.9761904761904762
0.0015,0.5,2005-2012,604,0.7890411296483404,0.2800685623122457,0.23684210526315788,0.935064935064935
0.0015,0.5,2013-2019,374,0.8037154989384289,0.32575116773574203,0.29949238578680204,0.9833333333333333
0.0015,0.5,2020-2026,391,0.7758902988129349,0.2599191104564479,0.19806763285024154,0.9761904761904762
0.0015,1.0,2005-2012,604,0.7899529313191552,0.2762476936544309,0.23529411764705882,0.935064935064935
0.0015,1.0,2013-2019,374,0.8100849256900212,0.33344697508231813,0.29949238578680204,0.9833333333333333
0.0015,1.0,2020-2026,391,0.7782439623413835,0.2429642432673204,0.19806763285024154,0.9761904761904762
0.0015,2.0,2005-2012,604,0.7853569580324797,0.28338833589985196,0.22784810126582278,0.935064935064935
0.0015,2.0,2013-2019,374,0.8119957537154989,0.3335251034945445,0.29797979797979796,0.9833333333333333
0.0015,2.0,2020-2026,391,0.7790285168508664,0.23467901889090997,0.19902912621359223,0.9761904761904762
0.0015,4.0,2005-2012,604,0.7820547573868256,0.27364915707375337,0.23452768729641693,0.935064935064935
0.0015,4.0,2013-2019,374,0.810615711252654,0.3293987232342242,0.30256410256410254,0.9833333333333333
0.0015,4.0,2020-2026,391,0.7780051848819758,0.24049707648280197,0.19902912621359223,0.9761904761904762
0.002,0.0,2005-2012,604,0.7880571909167368,0.29649587600673194,0.250814332247557,0.9390243902439024
0.002,0.0,2013-2019,374,0.80625,0.3453258009724919,0.2995169082125604,0.96875
0.002,0.0,2020-2026,391,0.7628958436417614,0.23466246400151328,0.22439024390243903,0.9787234042553191
0.002,0.25,2005-2012,604,0.7889566395663956,0.29419325439116284,0.25245901639344265,0.9390243902439024
0.002,0.25,2013-2019,374,0.8018145161290322,0.33850774818024565,0.3024390243902439,0.96875
0.002,0.25,2020-2026,391,0.7689571994062346,0.23972355229410777,0.22115384615384615,0.9787234042553191
0.002,0.5,2005-2012,604,0.79121110176619,0.29994642770472496,0.2508250825082508,0.926829268292683
0.002,0.5,2013-2019,374,0.7965725806451613,0.3376678105643982,0.3069306930693069,0.96875
