threshold,n_signal,n_cluster,ev_precision,caught,ev_recall,ev_f1
0.1,1272,51,0.4001572327044025,156,0.7090909090909091,0.511603932837648
0.15,1197,91,0.4118629908103592,155,0.7045454545454546,0.5198387727682443
0.2,1126,122,0.4289520426287744,152,0.6909090909090909,0.529292171932
0.25,1047,151,0.44603629417383,151,0.6863636363636364,0.5406978304458341
0.3,961,171,0.4578563995837669,148,0.6727272727272727,0.5448734039526749
0.35,883,181,0.46206115515288787,143,0.65,0.5401497021233261
0.4,789,198,0.46894803548795944,135,0.6136363636363636,0.5316233403400473
0.45,698,209,0.4799426934097421,131,0.5954545454545455,0.5314948709564122
0.5,564,203,0.4698581560283688,123,0.5590909090909091,0.5106053010840278
0.55,414,182,0.4492753623188406,104,0.4727272727272727,0.4607030580165762
0.6,274,146,0.44525547445255476,75,0.3409090909090909,0.3861574171766196
0.65,149,101,0.4899328859060403,49,0.22272727272727272,0.30623689054406916
0.7,71,59,0.4225352112676056,28,0.12727272727272726,0.19562179785747552
